,"Air temperature, high precision [°C]",,,Precipitation [mm],EAG Soil moisture 1 [%],EAG Soil moisture 2 [%],EAG Soil moisture 3 [%],EAG Soil moisture 4 [%],EAG Soil moisture 5 [%],EAG Soil moisture 6 [%],Volumetric Ionic Content 1 [VIC],Volumetric Ionic Content 2 [VIC],Volumetric Ionic Content 3 [VIC],Volumetric Ionic Content 4 [VIC],Volumetric Ionic Content 5 [VIC],Volumetric Ionic Content 6 [VIC],Soil temperature 1 [°C],,,Soil temperature 2 [°C],,,Soil temperature 3 [°C],,,Soil temperature 4 [°C],,,Soil temperature 5 [°C],,,Soil temperature 6 [°C],,,Solar Panel [mV],Battery [mV]
Date/Time,avg,max,min,sum,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,avg,max,min,avg,max,min,avg,max,min,avg,max,min,avg,max,min,avg,max,min,last,last
2023-09-25 00:00:00,21.85,22.26,21.43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6280
2023-09-24 00:00:00,21.93,22.34,21.49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6334
2023-09-23 00:00:00,21.87,22.19,21.34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6385
2023-09-22 00:00:00,22.56,27.64,21.26,1,14.97,15.91,20.61,25.56,20.88,14.84,1303.7975,1379.4409,1274.6764,1296.8486,1231.709,1264.1424,25.3,28.3,23.7,27.8,30.2,26.1,28.5,29.6,27.4,28.5,28.9,28,28.4,28.7,28.2,28.2,28.4,28.1,0,6428
2023-09-21 00:00:00,27.01,35.93,23.2,1,14.45,16.11,20.97,25.81,20.99,14.87,1334.1435,1388.6496,1275.6396,1294.9801,1230.0732,1261.8674,28.6,35.8,24.8,28.7,31.1,26.7,28.5,29.6,27.4,28.3,28.7,27.8,28.3,28.6,28,28.1,28.4,28,0,6505
2023-09-20 00:00:00,26.93,32.88,22.26,0,16.12,17.8,21.76,26.01,20.93,14.81,1336.8238,1395.2194,1279.3619,1293.8024,1228.9252,1260.4295,27.9,33.9,24.4,28.2,30.5,26.4,28.3,29.6,27.2,28.3,29,27.7,28.4,28.8,28,28.3,28.7,28.1,4160,6596
2023-09-19 00:00:00,26.08,35.37,21.86,0,16.98,18.52,21.75,25.76,20.74,14.68,1334.3277,1395.0537,1271.5181,1294.6664,1233.7435,1258.8852,28,35.7,24.2,28.7,31.7,26.4,28.8,30.4,27.4,28.7,29.5,27.9,28.7,29.1,28.2,28.5,28.8,28.3,2434,6588
2023-09-18 00:00:00,27.5,36.37,23.12,0,13.94,14.98,19.45,24.66,20.31,14.6,1322.7178,1366.8852,1254.213,1290.1689,1229.2456,1252.7367,29.1,36.8,25.2,29.3,32,27.3,29.2,30.4,28.1,28.9,29.6,28.3,28.9,29.2,28.6,28.7,28.9,28.5,0,6519
2023-09-17 00:00:00,27.92,36.01,23.45,0,12.29,14.48,19.46,24.69,20.32,14.59,1320.6908,1364.8325,1253.0428,1289.5164,1228.632,1251.9233,29.4,37.2,25.3,29.4,32.2,27.3,29.2,30.4,28.1,28.9,29.5,28.4,28.9,29.2,28.6,28.7,28.9,28.6,7927,6710
