"FAWN Station","Period","2m Rain tot (in)","2m Rain max over 15min (in)","N (# obs)"
"Homestead","24 May 2023","3.41","1.24","96"
"Homestead","25 May 2023","0.01","0.01","96"
"Homestead","26 May 2023","0.06","0.02","96"
"Homestead","27 May 2023","0.00","0.00","96"
"Homestead","28 May 2023","0.00","0.00","96"
"Homestead","29 May 2023","0.00","0.00","96"
"Homestead","30 May 2023","0.00","0.00","96"
"Homestead","31 May 2023","0.01","0.01","96"
"Homestead","1 Jun 2023","0.20","0.05","96"
"Homestead","2 Jun 2023","0.02","0.01","96"
"Homestead","3 Jun 2023","0.27","0.13","96"
"Homestead","4 Jun 2023","0.09","0.06","96"
"Homestead","5 Jun 2023","0.06","0.05","96"
"Homestead","6 Jun 2023","0.08","0.04","96"
"Homestead","7 Jun 2023","0.07","0.07","96"
"Homestead","8 Jun 2023","0.16","0.13","96"
"Homestead","9 Jun 2023","0.54","0.17","96"
"Homestead","10 Jun 2023","0.00","0.00","96"
"Homestead","11 Jun 2023","0.98","0.20","96"
"Homestead","12 Jun 2023","0.03","0.01","96"
"Homestead","13 Jun 2023","0.04","0.01","96"
"Homestead","14 Jun 2023","0.01","0.01","96"
"Homestead","15 Jun 2023","0.03","0.01","96"
"Homestead","16 Jun 2023","0.05","0.05","96"
"Homestead","17 Jun 2023","0.17","0.05","96"
"Homestead","18 Jun 2023","0.06","0.02","96"
"Homestead","19 Jun 2023","0.38","0.15","96"
"Homestead","20 Jun 2023","1.31","0.58","96"
"Homestead","21 Jun 2023","0.17","0.09","96"
"Homestead","22 Jun 2023","0.02","0.01","96"
"Homestead","23 Jun 2023","0.00","0.00","96"
"Homestead","24 Jun 2023","0.18","0.04","96"
"Homestead","25 Jun 2023","0.74","0.50","96"
"Homestead","26 Jun 2023","0.38","0.18","96"
"Homestead","27 Jun 2023","0.00","0.00","96"
"Homestead","28 Jun 2023","0.19","0.17","96"
"Homestead","29 Jun 2023","2.44","0.95","96"
"Homestead","30 Jun 2023","0.05","0.02","96"
"Homestead","1 Jul 2023","0.23","0.08","96"
"Homestead","2 Jul 2023","0.92","0.46","96"
"Homestead","3 Jul 2023","0.06","0.04","96"
"Homestead","4 Jul 2023","0.00","0.00","96"
"Homestead","5 Jul 2023","0.00","0.00","96"
"Homestead","6 Jul 2023","1.58","0.64","96"
"Homestead","7 Jul 2023","0.49","0.40","96"
"Homestead","8 Jul 2023","0.00","0.00","96"
"Homestead","9 Jul 2023","0.00","0.00","96"
"Homestead","10 Jul 2023","0.00","0.00","96"
"Homestead","11 Jul 2023","0.00","0.00","96"
"Homestead","12 Jul 2023","0.00","0.00","96"
"Homestead","13 Jul 2023","2.04","0.70","96"
"Homestead","14 Jul 2023","1.09","0.60","96"
"Homestead","15 Jul 2023","0.39","0.15","96"
"Homestead","16 Jul 2023","0.50","0.28","96"
"Homestead","17 Jul 2023","0.01","0.01","96"
"Homestead","18 Jul 2023","0.00","0.00","96"
"Homestead","19 Jul 2023","0.36","0.14","96"
"Homestead","20 Jul 2023","0.03","0.03","96"
"Homestead","21 Jul 2023","0.00","0.00","96"
"Homestead","22 Jul 2023","0.00","0.00","96"
"Homestead","23 Jul 2023","0.00","0.00","96"
"Homestead","24 Jul 2023","1.87","1.07","96"
"Homestead","25 Jul 2023","0.00","0.00","96"
"Homestead","26 Jul 2023","0.55","0.15","96"
"Homestead","27 Jul 2023","0.41","0.18","96"
"Homestead","28 Jul 2023","3.20","1.23","96"
"Homestead","29 Jul 2023","0.00","0.00","96"
"Homestead","30 Jul 2023","0.00","0.00","96"
"Homestead","31 Jul 2023","0.86","0.51","96"
"Homestead","1 Aug 2023","0.34","0.14","96"
"Homestead","2 Aug 2023","1.08","0.51","96"
"Homestead","3 Aug 2023","2.37","1.24","96"
"Homestead","4 Aug 2023","0.01","0.01","96"
"Homestead","5 Aug 2023","0.00","0.00","96"
"Homestead","6 Aug 2023","0.57","0.25","96"
"Homestead","7 Aug 2023","0.01","0.01","96"
"Homestead","8 Aug 2023","0.33","0.18","96"
"Homestead","9 Aug 2023","0.48","0.21","96"
"Homestead","10 Aug 2023","0.99","0.50","96"
"Homestead","11 Aug 2023","1.31","0.66","96"
"Homestead","12 Aug 2023","0.00","0.00","96"
"Homestead","13 Aug 2023","0.01","0.01","96"
"Homestead","14 Aug 2023","0.00","0.00","96"
"Homestead","15 Aug 2023","2.99","0.72","96"
"Homestead","16 Aug 2023","0.01","0.01","96"
"Homestead","17 Aug 2023","0.05","0.03","81"
"Homestead","18 Aug 2023","0.64","0.26","96"
"Homestead","19 Aug 2023","0.26","0.08","96"
"Homestead","20 Aug 2023","1.48","0.42","96"
"Homestead","21 Aug 2023","0.21","0.14","96"
"Homestead","22 Aug 2023","0.03","0.02","96"
"Homestead","23 Aug 2023","0.26","0.07","96"
"Homestead","24 Aug 2023","0.07","0.07","96"
"Homestead","25 Aug 2023","0.00","0.00","96"
"Homestead","26 Aug 2023","0.09","0.03","96"
"Homestead","27 Aug 2023","0.00","0.00","96"
"Homestead","28 Aug 2023","0.03","0.02","93"
"Homestead","29 Aug 2023","0.54","0.26","96"
"Homestead","30 Aug 2023","0.00","0.00","96"
"Homestead","31 Aug 2023","0.93","0.33","96"
"Homestead","1 Sep 2023","0.27","0.14","96"
"Homestead","2 Sep 2023","0.95","0.50","96"
"Homestead","3 Sep 2023","0.00","0.00","96"
"Homestead","4 Sep 2023","0.00","0.00","96"
"Homestead","5 Sep 2023","0.00","0.00","96"
"Homestead","6 Sep 2023","0.00","0.00","96"
"Homestead","7 Sep 2023","0.00","0.00","96"
"Homestead","8 Sep 2023","0.00","0.00","96"
"Homestead","9 Sep 2023","1.00","0.53","96"
"Homestead","10 Sep 2023","0.03","0.02","96"
"Homestead","11 Sep 2023","0.00","0.00","96"
"Homestead","12 Sep 2023","0.01","0.01","96"
"Homestead","13 Sep 2023","0.00","0.00","96"
"Homestead","14 Sep 2023","0.18","0.11","96"
"Homestead","15 Sep 2023","0.01","0.01","96"
"Homestead","16 Sep 2023","0.00","0.00","96"
"Homestead","17 Sep 2023","0.16","0.07","96"
"Homestead","18 Sep 2023","1.04","0.51","96"
"Homestead","19 Sep 2023","1.43","0.48","96"
"Homestead","20 Sep 2023","0.00","0.00","96"
"Homestead","21 Sep 2023","0.07","0.03","96"
"Homestead","22 Sep 2023","0.01","0.01","96"
"Homestead","23 Sep 2023","0.00","0.00","96"
"Homestead","24 Sep 2023","0.71","0.47","96"
"Homestead","25 Sep 2023","0.51","0.09","96"
"Homestead","26 Sep 2023","0.05","0.02","96"
